# Oscilloscope Data

# Seconds	fp_meas.acc_i
7.270	-4.61
7.280	-4.64
7.290	-4.62
7.300	-4.63
7.310	-4.65
7.320	-4.62
7.330	-4.66
7.340	-4.61
7.350	-4.67
7.360	-4.60
7.370	-4.69
7.380	-4.65
7.390	-4.64
7.400	-4.65
7.410	-4.61
7.420	-4.61
7.430	-4.64
7.440	-4.66
7.450	-4.65
7.460	-4.69
7.470	-4.67
7.480	-4.66
7.490	-4.68
7.500	-4.66
7.510	-4.66
7.520	-4.67
7.530	-4.62
7.540	-4.66
7.550	-4.65
7.560	-4.65
7.570	-4.62
7.580	-4.60
7.590	-4.65
7.600	-4.61
7.610	-4.60
7.620	-4.65
7.630	-4.61
7.640	-4.66
7.650	-4.66
7.660	-4.63
7.670	-4.64
7.680	-4.69
7.690	-4.66
7.700	-4.70
7.710	-4.67
7.720	-4.64
7.730	-4.61
7.740	-4.67
7.750	-4.68
7.760	-4.65
7.770	-4.63
7.780	-4.70
7.790	-4.63
7.800	-4.56
7.810	-4.66
7.820	-4.68
7.830	-4.63
7.840	-4.65
7.850	-4.64
7.860	-4.67
7.870	-4.64
7.880	-4.62
7.890	-4.67
7.900	-4.60
7.910	-4.64
7.920	-4.61
7.930	-4.65
7.940	-4.58
7.950	-4.65
7.960	-4.64
7.970	-4.67
7.980	-4.58
7.990	-4.66
8.000	-4.66
8.010	-4.66
8.020	-4.66
8.030	-4.68
8.040	-4.65
8.050	-4.65
8.060	-4.65
8.070	-4.62
8.080	-4.64
8.090	-4.66
8.100	-4.65
8.110	-4.63
8.120	-4.62
8.130	-4.67
8.140	-4.62
8.150	-4.58
8.160	-4.65
8.170	-4.58
8.180	-4.60
8.190	-4.67
8.200	-4.62
8.210	-4.64
8.220	-4.66
8.230	-4.62
8.240	-4.63
8.250	-4.64
8.260	-4.62
8.270	-4.63
8.280	-4.59
8.290	-4.62
8.300	-4.66
8.310	-4.64
8.320	-4.63
8.330	-4.62
8.340	-4.62
8.350	-4.66
8.360	-4.61
8.370	-4.67
8.380	-4.60
8.390	-4.67
8.400	-4.61
8.410	-4.67
8.420	-4.64
8.430	-4.64
8.440	-4.61
8.450	-4.62
8.460	-4.68
8.470	-4.67
8.480	-4.62
8.490	-4.58
8.500	-4.68
8.510	-4.66
8.520	-4.63
8.530	-4.64
8.540	-4.63
8.550	-4.66
8.560	-4.64
8.570	-4.65
8.580	-4.63
8.590	-4.61
8.600	-4.67
8.610	-4.67
8.620	-4.68
8.630	-4.64
8.640	-4.65
8.650	-4.64
8.660	-4.62
8.670	-4.70
8.680	-4.64
8.690	-4.64
8.700	-4.68
8.710	-4.65
8.720	-4.64
8.730	-4.64
8.740	-4.62
8.750	-4.61
8.760	-4.63
8.770	-4.63
8.780	-4.63
8.790	-4.61
8.800	-4.66
8.810	-4.60
8.820	-4.64
8.830	-4.62
8.840	-4.64
8.850	-4.62
8.860	-4.65
8.870	-4.66
8.880	-4.66
8.890	-4.68
8.900	-4.64
8.910	-4.64
8.920	-4.65
8.930	-4.66
8.940	-4.65
8.950	-4.68
8.960	-4.65
8.970	-4.63
8.980	-4.63
8.990	-4.58
9.000	-4.63
9.010	-4.65
9.020	-4.62
9.030	-4.63
9.040	-4.63
9.050	-4.65
9.060	-4.63
9.070	-4.62
9.080	-4.63
9.090	-4.66
9.100	-4.63
9.110	-4.62
9.120	-4.60
9.130	-4.67
9.140	-4.62
9.150	-4.65
9.160	-4.64
9.170	-4.65
9.180	-4.66
9.190	-4.62
9.200	-4.69
9.210	-4.63
9.220	-4.62
9.230	-4.63
9.240	-4.68
9.250	-4.67
9.260	-4.66
9.270	-4.63
9.280	-4.64
9.290	-4.67
9.300	-4.65
9.310	-4.65
9.320	-4.65
9.330	-4.63
9.340	-4.62
9.350	-4.64
9.360	-4.63
9.370	-4.61
9.380	-4.63
9.390	-4.61
9.400	-4.65
9.410	-4.66
9.420	-4.65
9.430	-4.65
9.440	-4.66
9.450	-4.64
9.460	-4.66
9.470	-4.63
9.480	-4.68
9.490	-4.67
9.500	-4.63
9.510	-4.65
9.520	-4.70
9.530	-4.64
9.540	-4.65
9.550	-4.65
9.560	-4.65
9.570	-4.62
9.580	-4.65
9.590	-4.64
9.600	-4.64
9.610	-4.65
9.620	-4.63
9.630	-4.63
9.640	-4.66
9.650	-4.62
9.660	-4.64
9.670	-4.59
9.680	-4.65
9.690	-4.62
9.700	-4.66
9.710	-4.64
9.720	-4.63
9.730	-4.62
9.740	-4.66
9.750	-4.67
9.760	-4.64
9.770	-4.62
9.780	-4.61
9.790	-4.63
9.800	-4.64
9.810	-4.67
9.820	-4.59
9.830	-4.65
9.840	-4.65
9.850	-4.63
9.860	-4.64
9.870	-4.67
9.880	-4.62
9.890	-4.61
9.900	-4.64
9.910	-4.61
9.920	-4.62
9.930	-4.67
9.940	-4.63
9.950	-4.61
9.960	-4.65
9.970	-4.65
9.980	-4.65
9.990	-4.67
10.000	-4.61
10.010	-4.62
10.020	-4.67
10.030	-4.66
10.040	-4.63
10.050	-4.64
10.060	-4.67
10.070	-4.62
10.080	-4.65
10.090	-4.63
10.100	-4.64
10.110	-4.61
10.120	-4.60
10.130	-4.65
10.140	-4.64
10.150	-4.62
10.160	-4.63
10.170	-4.62
10.180	-4.62
10.190	-4.64
10.200	-4.59
10.210	-4.64
10.220	-4.63
10.230	-4.63
10.240	-4.63
10.250	-4.65
10.260	-4.63
10.270	-4.65
10.280	-4.66
10.290	-4.65
10.300	-4.62
10.310	-4.65
10.320	-4.65
10.330	-4.62
10.340	-4.64
10.350	-4.66
10.360	-4.63
10.370	-4.68
10.380	-4.62
10.390	-4.65
10.400	-4.67
10.410	-4.64
10.420	-4.62
10.430	-4.62
10.440	-4.64
10.450	-4.60
10.460	-4.63
10.470	-4.61
10.480	-4.63
10.490	-4.64
10.500	-4.61
10.510	-4.65
10.520	-4.62
10.530	-4.63
10.540	-4.63
10.550	-4.64
10.560	-4.59
10.570	-4.63
10.580	-4.67
10.590	-4.67
10.600	-4.68
10.610	-4.61
10.620	-4.65
10.630	-4.63
10.640	-4.63
10.650	-4.63
10.660	-4.68
10.670	-4.65
10.680	-4.62
10.690	-4.64
10.700	-4.61
10.710	-4.63
10.720	-4.64
10.730	-4.65
10.740	-4.66
10.750	-4.63
10.760	-4.68
10.770	-4.67
10.780	-4.62
10.790	-4.60
10.800	-4.64
10.810	-4.64
10.820	-4.67
10.830	-4.64
10.840	-4.63
10.850	-4.60
10.860	-4.63
10.870	-4.58
10.880	-4.65
10.890	-4.63
10.900	-4.61
10.910	-4.65
10.920	-4.63
10.930	-4.62
10.940	-4.68
10.950	-4.66
10.960	-4.63
10.970	-4.65
10.980	-4.67
10.990	-4.64
11.000	-4.61
11.010	-4.66
11.020	-4.64
11.030	-4.65
11.040	-4.62
11.050	-4.61
11.060	-4.66
11.070	-4.62
11.080	-4.66
11.090	-4.65
11.100	-4.61
11.110	-4.64
11.120	-4.66
11.130	-4.64
11.140	-4.64
11.150	-4.60
11.160	-4.64
11.170	-4.65
11.180	-4.69
11.190	-4.64
11.200	-4.61
11.210	-4.65
11.220	-4.61
11.230	-4.67
11.240	-4.66
11.250	-4.66
11.260	-4.64
11.270	-4.65
11.280	-4.67
11.290	-4.64
11.300	-4.64
11.310	-4.65
11.320	-4.63
11.330	-4.65
11.340	-4.65
11.350	-4.63
11.360	-4.62
11.370	-4.61
11.380	-4.60
11.390	-4.66
11.400	-4.65
11.410	-4.62
11.420	-4.66
11.430	-4.66
11.440	-4.63
11.450	-4.65
11.460	-4.65
11.470	-4.65
11.480	-4.67
11.490	-4.64
11.500	-4.64
11.510	-4.70
11.520	-4.62
11.530	-4.67
11.540	-4.63
11.550	-4.63
11.560	-4.64
11.570	-4.63
11.580	-4.63
11.590	-4.62
11.600	-4.67
11.610	-4.65
11.620	-4.60
11.630	-4.68
11.640	-4.62
11.650	-4.66
11.660	-4.64
11.670	-4.62
11.680	-4.63
11.690	-4.64
11.700	-4.64
11.710	-4.68
11.720	-4.64
11.730	-4.64
11.740	-4.65
11.750	-4.66
11.760	-4.65
11.770	-4.64
11.780	-4.66
11.790	-4.64
11.800	-4.63
11.810	-4.67
11.820	-4.64
11.830	-4.64
11.840	-4.65
11.850	-4.66
11.860	-4.62
11.870	-4.65
11.880	-4.66
11.890	-4.64
11.900	-4.63
11.910	-4.61
11.920	-4.62
11.930	-4.64
11.940	-4.60
11.950	-4.63
11.960	-4.68
11.970	-4.64
11.980	-4.67
11.990	-4.65
12.000	-4.66
12.010	-4.61
12.020	-4.65
12.030	-4.65
12.040	-4.64
12.050	-4.64
12.060	-4.65
12.070	-4.63
12.080	-4.64
12.090	-4.65
12.100	-4.64
12.110	-4.63
12.120	-4.62
12.130	-4.64
12.140	-4.63
12.150	-4.66
12.160	-4.66
12.170	-4.65
12.180	-4.64
12.190	-4.62
12.200	-4.70
12.210	-4.63
12.220	-4.64
12.230	-4.61
12.240	-4.64
12.250	-4.64
12.260	-4.67
12.270	-4.62
12.280	-4.65
12.290	-4.66
12.300	-4.64
12.310	-4.65
12.320	-4.66
12.330	-4.65
12.340	-4.58
12.350	-4.59
12.360	-4.65
12.370	-4.64
12.380	-4.61
12.390	-4.65
12.400	-4.64
12.410	-4.63
12.420	-4.67
12.430	-4.66
12.440	-4.64
12.450	-4.61
12.460	-4.63
12.470	-4.65
12.480	-4.66
12.490	-4.63
12.500	-4.65
12.510	-4.65
12.520	-4.67
12.530	-4.64
12.540	-4.67
12.550	-4.61
12.560	-4.63
12.570	-4.63
12.580	-4.62
12.590	-4.60
12.600	-4.66
12.610	-4.70
12.620	-4.65
12.630	-4.67
12.640	-4.67
12.650	-4.68
12.660	-4.63
12.670	-4.63
12.680	-4.63
12.690	-4.62
12.700	-4.62
12.710	-4.66
12.720	-4.64
12.730	-4.64
12.740	-4.64
12.750	-4.64
12.760	-4.65
12.770	-4.60
12.780	-4.63
12.790	-4.66
12.800	-4.64
12.810	-4.61
12.820	-4.62
12.830	-4.65
12.840	-4.66
12.850	-4.64
12.860	-4.64
12.870	-4.62
12.880	-4.63
12.890	-4.63
12.900	-4.65
12.910	-4.66
12.920	-4.60
12.930	-4.67
12.940	-4.61
12.950	-4.64
12.960	-4.64
12.970	-4.62
12.980	-4.66
12.990	-4.62
13.000	-4.68
13.010	-4.60
13.020	-4.65
13.030	-4.67
13.040	-4.65
13.050	-4.68
13.060	-4.64
13.070	-4.64
13.080	-4.65
13.090	-4.61
13.100	-4.63
13.110	-4.64
13.120	-4.66
13.130	-4.64
13.140	-4.66
13.150	-4.65
13.160	-4.62
13.170	-4.62
13.180	-4.64
13.190	-4.65
13.200	-4.63
13.210	-4.62
13.220	-4.64
13.230	-4.64
13.240	-4.67
13.250	-4.64
13.260	-4.69
13.270	-4.64
13.280	-4.64
13.290	-4.63
13.300	-4.61
13.310	-4.64
13.320	-4.68
13.330	-4.67
13.340	-4.63
13.350	-4.66
13.360	-4.66
13.370	-4.67
13.380	-4.66
13.390	-4.68
13.400	-4.65
13.410	-4.64
13.420	-4.67
13.430	-4.60
13.440	-4.60
13.450	-4.63
13.460	-4.64
13.470	-4.65
13.480	-4.67
13.490	-4.63
13.500	-4.66
13.510	-4.65
13.520	-4.61
13.530	-4.63
13.540	-4.64
13.550	-4.60
13.560	-4.65
13.570	-4.64
13.580	-4.67
13.590	-4.64
13.600	-4.62
13.610	-4.64
13.620	-4.66
13.630	-4.63
13.640	-4.65
13.650	-4.62
13.660	-4.62
13.670	-4.65
13.680	-4.65
13.690	-4.58
13.700	-4.64
13.710	-4.66
13.720	-4.64
13.730	-4.63
13.740	-4.62
13.750	-4.60
13.760	-4.62
13.770	-4.65
13.780	-4.66
13.790	-4.63
13.800	-4.61
13.810	-4.62
13.820	-4.63
13.830	-4.63
13.840	-4.59
